journal,journal_id,title,url,doi,published,updated,item_type,source,issue,stage
Studies in Indian Politics,j053,"Book review: Ankita Pandey, Becoming Allies: Civil Liberties Activism in India",https://journals.sagepub.com/doi/abs/10.1177/23210230261484235?ai=2b4&mi=ehikzz&af=R,10.1177/23210230261484235,,2026-09-22T05:09:14+00:00,,publisher:issue,,
The Journal of American History,j058,"Policing Show Business: J. Edgar Hoover, the Hollywood Blacklist, and Cold War Movies",https://academic.oup.com/jah/article/113/1/219/8706965?rss=1,10.1093/jahist/jaag166,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Doc Watson: A Life in Music,https://academic.oup.com/jah/article/113/1/190/8706964?rss=1,10.1093/jahist/jaag141,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,The American Revolution,https://academic.oup.com/jah/article/113/1/231/8706963?rss=1,10.1093/jahist/jaag146,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Sexing History,https://academic.oup.com/jah/article/113/1/245/8706962?rss=1,10.1093/jahist/jaag147,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"Resisting Oklahoma's Reign of Terror: The Society of Oklahoma Indians and the Fight for Native Rights, 1923–1928",https://academic.oup.com/jah/article/113/1/197/8706958?rss=1,10.1093/jahist/jaag128,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Corrections,https://academic.oup.com/jah/article/113/1/250/8706955?rss=1,10.1093/jahist/jaag180,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"Thoroughbred Nation: Making America at the Racetrack, 1791–1900",https://academic.oup.com/jah/article/113/1/174/8706951?rss=1,10.1093/jahist/jaag131,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Faith of the Fathers: The Comprehensive History of Catholic Chaplains in the Civil War,https://academic.oup.com/jah/article/113/1/181/8706948?rss=1,10.1093/jahist/jaag118,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Mapping Inequality: Redlining in New Deal America,https://academic.oup.com/jah/article/113/1/243/8706945?rss=1,10.1093/jahist/jaag152,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"The Hidden Cost of Freedom: The Untold Story of the Cia's Secret Funding System, 1941–1962",https://academic.oup.com/jah/article/113/1/218/8706943?rss=1,10.1093/jahist/jaag172,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"There Is a Deep Brooding in Arkansas: The Rape Trials That Sustained Jim Crow, and the People Who Fought It, from Thurgood Marshall to Maya Angelou",https://academic.oup.com/jah/article/113/1/195/8706938?rss=1,10.1093/jahist/jaag142,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"Sovereign of a Free People: Abraham Lincoln, Majority Rule, and Slavery",https://academic.oup.com/jah/article/113/1/177/8706937?rss=1,10.1093/jahist/jaag143,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"H. R. Haldeman, Dynastic Politics in California, and the Dismissal of University of California President Clark Kerr",https://academic.oup.com/jah/article/113/1/42/8706936?rss=1,10.1093/jahist/jaag091,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,"Unmentionable Madness: Gender, Disability, and Shame in the Malaria Treatment of Neurosyphilis",https://academic.oup.com/jah/article/113/1/199/8706932?rss=1,10.1093/jahist/jaag116,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Philadelphia: A Narrative History,https://academic.oup.com/jah/article/113/1/149/8706930?rss=1,10.1093/jahist/jaag096,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
The Journal of American History,j058,Hard Neighbors: The Scotch-Irish Invasion of Native America and the Making of an American Identity,https://academic.oup.com/jah/article/113/1/159/8706928?rss=1,10.1093/jahist/jaag114,2026-06-12T00:00:00+00:00,2026-06-12T00:00:00+00:00,,publisher:issue,,
